"Country Name","Country Code","Indicator Name","Indicator Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aruba","ABW","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2511924645.18289,NA,NA,NA,NA,NA,NA
"Africa Eastern and Southern","AFE","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407745907705.836,428680589415.563,453257277899.276,485401008580.717,527607988946.661,540694064150.644,526505070395.762,559681074772.006,586077398468.962,617395166036.491,650730362184.173,680237188743.274,710879677724.116,741909236063.753,766897956536.619,781264125201.964,829323842542.373,855643615915.091,853832348662.892,887988734429.434
"Afghanistan","AFG","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18572571195.5786,NA,NA,NA,NA,NA,NA
"Africa Western and Central","AFW","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649626064751.412,NA,NA,NA,NA,NA,NA
"Angola","AGO","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29544946216.3581,32031219873.4068,34241307412.0339,37318708316.4924,43317292572.231,39700118180.333,33697916998.7597,42652349394.0504,46524170554.4732,56315064942.8054,62797003396.1275,71933697673.6153,74186950441.579,66790173500.1792,60867448165.947,60095272821.0385,66168025837.9186,62640846557.9732,71226112154.6236,73209310399.8686
"Albania","ALB","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3569080136.86226,4826191011.2909,3986418416.96731,4273881197.47349,4915351170.35345,5446745515.48131,5990680097.83572,6176804138.7181,6518466082.67157,6908843121.01276,7182500475.82519,7678971647.83585,7964165214.9959,8509748489.14637,8603706174.94225,8837826240.71859,8856551353.02279,8895779373.42836,9194527731.2855,9315867730.39635,9442334426.19139,9949554171.46242,10040194175.8048,10437921825.2201,10525683529.5232,10190134085.7518,11338633814.8296
"Andorra","AND","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arab World","ARB","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097847499128.12,1135427411440.32,1186958704191.26,1290161655455.42,1418951494325.18,1588041836395.76,1707813197223.73,1905092987707.68,1745263608655.83,1901848118511.15,2083208386103.36,2250793109512.5,2293106584300.61,2294645018489.52,2141147130648.35,2157939043020.64,2235286688535.51,2354338329661.38,2383377469956.72,2172323684208.12,NA
"United Arab Emirates","ARE","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195153022465.691,193218066144.407,204293022427.052,223792414300.14,239443776031.558,279228730685.53,299699084954.724,319651854222.255,266737488471.083,267497240767.682,311910547130.222,332830167966.498,350016112787.874,364403473367.302,339166891399.72,349251740760.509,367034876424.127,377751420606.148,379676179915.35,320007050621.006,NA
"Argentina","ARG","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",186124931642.864,205120976219.304,203520544675.342,215427729018.988,222592422453.24,222589576007.004,217756729810.907,229981998532.998,141996153166.255,232458200987.597,241560929486.445,225560828624.545,209391760119.447,219826335643.819,151775571867.452,209855926375.783,238786862563.462,235688869287.231,228068666577.773,199308595525.34,199995996148.856,230941326066.341,263811938644.539,277820005338.691,291325525911.141,277726982002.732,296664500042.647,318609639486.936,328440106020.257,309892954965.124,306950607277.816,292467625136.43,260176626231.925,290464334441.453,287989580924.515,309083437491.844,373202170817.125,418184318575.125,441850181445.212,408691884546.065,456014247137.69,496231951942.541,489386544713.445,499896288424.636,481930355597.948,507308748132.43,497530808193.095,526110843525.895,496612611278.478,471312524843.888,434378669300.084,488630635314.517
"Armenia","ARM","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2988648235.03487,3181070510.34328,3400526236.14884,3521771304.14438,3632325063.29325,3600808663.14085,3900779320.2229,4477457038.96183,5365759698.54994,5920483980.49507,6801049527.24035,7795848002.75093,9112357706.72322,9957823381.27937,7771768479.85734,7895354801.14977,8107503597.00637,9167918367.22997,9485060528.33705,9601951747.60688,9466501710.46717,9327833145.16188,10293869479.6439,10719481260.0959,11345604411.6894,10302611741.2014,10545755086.1819
"American Samoa","ASM","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060111764468.07,NA,NA,NA,NA,NA,NA
